,Date,BID,GDP,Close,Inflation
1,12/29/2000,9.440782918,476.636,1417.6154,4.02
2,12/31/2001,8.025699301,493.934,1121.55,3.77
3,12/31/2002,6.478823529,523.768,1056.021514,4.31
4,12/31/2003,5.017256944,618.369,1233.705118,3.81
5,12/31/2004,4.633862069,721.589,1755.868898,3.77
6,12/31/2005,5.320410959,834.218,2268.910558,4.25
7,12/30/2006,6.549829352,949.118,3357.0938,5.79
8,12/31/2007,7.35467354,1238.7,4571.292369,6.39
9,12/31/2008,8.367093426,1224.096,4339.113211,8.32
10,12/31/2009,4.147957746,1365.373,4113.960082,10.83
11,12/31/2010,5.355302491,1708.46,5461.124603,12.11
12,12/30/2011,8.599246862,1843.018,5335.912551,8.87
13,12/31/2012,8.988506224,1835.821,5343.771116,9.3
14,12/31/2013,8.850916667,1875.157,5915.9052,10.92
15,12/31/2014,8.663931624,2049.501,7312.385217,6.37
16,8/6/2015,8.036758621,2308.018,8465.261404,6.23
